"No.","Time","Source","Destination","Protocol","Length","Info"
"16883","8370.821449","fe80::8000:f227:eb36:27fb","fe80::ffff:ffff:fffe","ICMPv6","151","Router Advertisement"
"16884","8377.737145","2a02:8388:8640:7a80:7869:2d93:b272:cf93","2a02:26f0:11a:386::21cc","TCP","74","63342  >  80 [FIN, ACK] Seq=228 Ack=264 Win=65024 Len=0"
"16885","8377.737293","2a02:8388:8640:7a80:7869:2d93:b272:cf93","2a00:1450:4016:80a::2003","TCP","74","63343  >  80 [FIN, ACK] Seq=403 Ack=445 Win=65024 Len=0"
"16886","8377.745601","2a02:26f0:11a:386::21cc","2a02:8388:8640:7a80:7869:2d93:b272:cf93","TCP","74","80  >  63342 [FIN, ACK] Seq=264 Ack=229 Win=64640 Len=0"
"16887","8377.745720","2a02:8388:8640:7a80:7869:2d93:b272:cf93","2a02:26f0:11a:386::21cc","TCP","74","63342  >  80 [ACK] Seq=229 Ack=265 Win=65024 Len=0"
"16888","8377.755760","2a00:1450:4016:80a::2003","2a02:8388:8640:7a80:7869:2d93:b272:cf93","TCP","74","80  >  63343 [FIN, ACK] Seq=445 Ack=404 Win=269312 Len=0"
"16889","8377.755848","2a02:8388:8640:7a80:7869:2d93:b272:cf93","2a00:1450:4016:80a::2003","TCP","74","63343  >  80 [ACK] Seq=404 Ack=446 Win=65024 Len=0"
"16890","8382.533867","fe80::1d2:b3b3:b3d5:978a","fe80::10:18ff:fe7b:f764","ICMPv6","86","Neighbor Solicitation for fe80::10:18ff:fe7b:f764 from c8:d9:d2:33:12:d3"
"16891","8382.534911","fe80::10:18ff:fe7b:f764","fe80::1d2:b3b3:b3d5:978a","ICMPv6","78","Neighbor Advertisement fe80::10:18ff:fe7b:f764 (rtr, sol)"
"16892","8383.114164","fe80::10:18ff:fe7b:f764","2a02:8388:8640:7a80:7869:2d93:b272:cf93","ICMPv6","86","Neighbor Solicitation for 2a02:8388:8640:7a80:7869:2d93:b272:cf93 from 02:10:18:7b:f7:64"
"16893","8383.114294","2a02:8388:8640:7a80:7869:2d93:b272:cf93","fe80::10:18ff:fe7b:f764","ICMPv6","86","Neighbor Advertisement 2a02:8388:8640:7a80:7869:2d93:b272:cf93 (sol, ovr) is at c8:d9:d2:33:12:d3"
"16894","8387.722411","fe80::10:18ff:fe7b:f764","fe80::1d2:b3b3:b3d5:978a","ICMPv6","86","Neighbor Solicitation for fe80::1d2:b3b3:b3d5:978a from 02:10:18:7b:f7:64"
"16895","8387.722787","fe80::1d2:b3b3:b3d5:978a","fe80::10:18ff:fe7b:f764","ICMPv6","86","Neighbor Advertisement fe80::1d2:b3b3:b3d5:978a (sol, ovr) is at c8:d9:d2:33:12:d3"
"16896","8397.933650","fe80::ffff:ffff:fffe","ff02::2","ICMPv6","103","Router Solicitation"
"16897","8397.959751","fe80::8000:f227:eb36:27fb","fe80::ffff:ffff:fffe","ICMPv6","151","Router Advertisement"
